Peak #,D35Cl Wavenumber,D35Cl Absorbance,D37Cl Wavenumber,D37Cl Absorbance,Delta nu (cm^-1)
1,2201.952972,0.04890548641766634,2198.578304987,0.02227635265316233,3.3746670129999075
2,2193.997959615,0.05913495834419019,2190.743822037,0.03137702759361706,3.2541375780001545
3,2185.922607268,0.09663867459526203,2182.66846969,0.04311159762833405,3.2541375779996997
4,2177.485287671,0.10474323801112982,2174.23098786,0.04958641535611526,3.2542998110002372
5,2168.927822645,0.14605863193263802,2165.67360142,0.07247564013773805,3.2542212250000375
6,2160.00875919,0.16806625994053312,2156.75443214,0.07381196273204163,3.254327050000029
7,2150.848641926,0.18608556261961398,2147.714677016,0.09723582999868789,3.1339649099995768
8,2141.447103963,0.18996912279386788,2138.313412173,0.1031432481899966,3.13369178999983
9,2131.80478025,0.18316230288444932,2129.996917308,0.01592296114152683,1.8078629420001562
10,2121.921397666,0.14605863193263802,2118.908129486,0.09837815529009022,3.0132681800000682
11,2111.797017682,0.10885295057909473,2108.783587269,0.0679831768593338,3.013430413000151
12,2101.552024615,0.1043564405025345,2098.538594202,0.049683753783931583,3.013430413000151
13,2080.097697176,0.06393891408398014,2077.204958431,0.04604706220361907,2.8927387450003152
14,2069.129611146,0.11838703055546601,2066.236788753,0.06722194819137761,2.8928223930001877
15,2057.920104416,0.15088778525312654,2055.027744616,0.08254696867973953,2.892359800000122
16,2046.590530843,0.18748763144592834,2043.577262663,0.063084323574462,3.013268179999841
17,2034.89926314,0.18409039290762919,2032.006362163,0.07701524185134481,2.892900976999954
18,2022.966830742,0.1423057663208327,2020.315094459,0.07820948106254368,2.651736282999991
19,2011.034442699,0.1411021040716781,2008.141703954,0.06263258348604755,2.892738745000088
20,1998.740421995,0.13383076311954992,1995.96804539,0.059882131258275594,2.772376604999863
21,1986.205091479,0.09604233969565562,1983.674130512,0.04057699140806489,2.5309609670000555
22,1973.54966688,0.0744300471560485,1971.018627328,0.03367049920446651,2.531039551999811
23,1960.773361141,0.06128017521544165,1958.242377997,0.027149476514505975,2.530983143999947
24,1947.6356908,0.03446907565404121,1945.225097035,0.0279361404961158,2.4105937649999305
